"","TLI3","TLI5","TLI7","TLI6","TLI4","TLD3","TLD7","TLE3","TLC4","TLG3","TLE4","TLC3","TLD6","TLD4","TLE1","TLE2","TLF1","TLF2","TLG1","TLG2","TLK5","TLK6","TLK4","TLK7","TLH4","TLH2","TLH3","TLJ4","TLJ1","TLJ2","TLJ3","TLK3","TLD1","TLF3","TLH5","TLH6","TLL3","TLL4","TLL5","TLN0"
"RQW",0,0.00202366152476056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0691086034653499,0.0955126193571525,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RCX",4.21116168404356e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466230899706271,0,0,0,0,0,0,0,0,0.0217908017686393,0.189780824266819,0.000158555276841579,NA,NA,NA,NA
"RTK",0,0,0.0029014978920443,4.17885499373172e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00156160122895907,0.0971860586889314,0.000214121744842758,0,0,0,0,0,NA,NA,NA,NA
"RA2",4.64982435946476e-05,0,0.000211245027252107,9.24169854382976e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155169860192128,0.09868807069642,0.0217484287777546,0,0,0,0,0,NA,NA,NA,NA
"RTH",6.75540520148654e-05,0,0,0,0,0,0,0,0,4.51349385456105e-05,0,0,0,0,0,0,0,0.0238016831015071,0.00514320560503823,0,0,0,0,0.0111515744602208,0.00022388622686002,0.00114509448007457,0,0,0.294567418807069,4.1961653504336e-05,0.000350286543747619,0,0,0,0,0,NA,NA,NA,NA
"R0A",0,0,0,0,0,0.426906629563472,0.000490889770483541,0,0,0,0.000164662609403515,0,0.0441721128001366,0.0129123016160542,0,4.59279303881531e-05,0.00350686079396669,0,0,0.00033738595881621,0,0,0,0,0,0,0,0,0,0,0,0,0.00310274470402451,0,0,0,NA,NA,NA,NA
"RXR",0,0,0,0,0,0.00411100606798278,0,0,0,0,0.000575656950836954,0,0,0.318060270167183,0,0.000245776492347414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RXN",0,0,0,0,0,0.00206537502332499,0.000134011450695803,0,0,0,3.75236509364579e-05,0,0,0.271323070024457,0,0.000299152195230943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119992011513304,0,0,0,NA,NA,NA,NA
"RM3",0,0,0,0,0,0.16508482555227,0.00015658946684564,0,0,0,0,0,0.00656682338346473,0.00147578926358184,0,0,0.000783492196501519,0,0,1.89188388121239e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RMC",0,0,0,0,0,0.125270511864583,0,0,0,0,0,0,0,0.00269798065000349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RRF",0,0,0,0,0,0.0928570930824067,0.00266129261327427,0,0,0,0,0,0.000528132612975432,0.0133497750429613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RBS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RMP",0,0,0,0,0,0.0817942708393823,0,0,0,0,0,0,0,0,0,0,0.0116583452626189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RWJ",0,0,0,0,0,0.0930103992697051,0,0,0,0,0,0,0.0223265252919337,0,0,0,0.0196729630017574,0,0,0.000200539691408514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RXL",0,0,0,0,0,0.000242347659719109,0,0,0,0,0,0,0,0.20142438613592,0,0.000163850994898276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00689109921988721,0,0,0,NA,NA,NA,NA
"RAE",0,0,0,0,0,0.00015137050311529,0,4.08284492634468e-05,0,0,0.182377745737975,0,0,0.000819579123221226,0,0.00529660753962836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RWY",0,0,0,0,0,0.00034339037407484,0,0.000126488136933815,0,0,0.181069273957085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RR8",0,0,0,0,0,0.000288804080112548,0,0.00109516310965481,0,0,0.327147522688565,0,0,0.000475068799531903,0.00308823219243394,0.0299946624297116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RWW",0,0,0,0,0,0.00323801250142273,0.0467161003833165,0,0,0,0,0,0.20024091836643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RJN",0,0,0,0,0,0.000235766333496705,0,0,0,0,0,0,0.133231002957543,0,0,0,0.00416559012138775,0,0,0.00414133381597393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"REM",0,0,0,0,0,0.000565606918290125,0.392756972419132,0,0,0,0,0,0.013297704982875,0.00724702073760754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00022235993897455,0,0,0,NA,NA,NA,NA
"RBN",0,0,0,0,0,0.00380245800920302,0.324394381132936,0,0,0,0,0,0.0185430731474906,0.0551920576699345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RBQ",0,0,0,0,0,1.08398314251359e-05,0.0114390426338494,0,0,0,0,0,0.0055959583247184,0.000786768616203195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"REP",0,0,0,0,0,0,0.00594311650911824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RBL",0,0,0,0,0,0,0.211609178910385,0,0,0,0,0,0.0221186433059753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RJR",0,0,0,0,0,0,0.00369842470996353,0,0,0,0,0,0.211294621587364,0,0,0,0,0,0,0.00028693572198388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RCU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RFF",0,0,0,0,0,0,0,0.166913905609429,0,0,0.00724912790620677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RXF",0,0,0,0,0,0,0,0.00543578765683929,0,0,0.234337848826481,0,0,0,0.00112783749371419,0.0134879159891263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RHQ",0,0,0,0,0,0,0,0.41277962484259,0,0,0.000914252718698874,0,0,0,0.0015829687657839,9.55797470239942e-05,0.0183745912037522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000818159046851517,0,0,NA,NA,NA,NA
"RP5",0,0,0,0,0,0,0,0.230755190216543,0,0,0.000937208363977648,0,0,0,0.00988633929037264,0.00182346296595127,0.0506453452509805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00102644246476879,0,0,NA,NA,NA,NA
"RFR",0,0,0,0,0,0,0,0.175239707027857,0,0,0,0,0,0,0,0,0.00110052023323208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RCB",0,0,0,0,0,0,0,0.000203341688488539,0,0,0.00228232088637044,0.000254843150826431,0,0,0.092010892068394,0.528640409130969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RWA",0,0,0,0,0,0,0,0.00022415619203461,0,0,0,0,0,0,0.55842719953288,0.0195615744591055,3.95703129546222e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00725180240029623,0,0,NA,NA,NA,NA
"RJL",0,0,0,0,0,0,0,0.000806962291324595,0,0,0,0,0,0,0.33318828336695,0.000729881704546865,0.000189937502182186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0889261288144453,0,0,NA,NA,NA,NA
"RWD",0,0,0,0,0,0,0,0.00012568757910512,0,0,0,0,0,0,0.00068824728947126,0,0.00486435529485702,0.00223886044343701,0,0,0,0,0,0,0.000191033356614256,0,0,0,0,0,0,0,0,0.700646359260308,4.85101735987329e-05,0,NA,NA,NA,NA
"RFS",0,0,0,0,0,0,0,0.00616349472312307,0,0,0,0,0,0,0,0,0.118279855219208,0,0,6.36934240008173e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RTG",0,0,0,0,0,0,0,8.96624768138439e-05,0,0.000223809612622862,0,0,0,0,0,0,0.248811610395354,0.0235208504326439,0.00127317675197614,0.113306186901731,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00246672910631439,0,0,NA,NA,NA,NA
"RR7",0,0,0,0,0,0,0,0,0.0868153648069981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"R0B",0,0,0,0,0,0,0,0,0.217581380335943,0,0,0.00161501192032608,0,0,0,7.07538387060737e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RTF",0,0,0,0,0,0,0,0,0.20867293248203,0,0,0,0,0,0,9.68210424398903e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109121081163437,0,0,0,NA,NA,NA,NA
"RTD",0,0,0,0,0,0,0,0,0.266857855323508,0,0,0.0131673987752449,0,0,0,0.0022517098844354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250093164696654,0,0,0,NA,NA,NA,NA
"RXP",0,0,0,0,0,0,0,0,0.188957556830939,0,0,0.143360581947152,0,0,0,0.0352850634922605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000125592187754144,0,0,0,NA,NA,NA,NA
"RNN",0,0,0,0,0,0,0,0,0.00116739461247132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611786312098646,0,0,0,NA,NA,NA,NA
"RTR",0,0,0,0,0,0,0,0,0.00976884772093312,0,0,0.455943047833607,0,0,0,0.131538833927086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00116738967961639,0,0,0,NA,NA,NA,NA
"RVW",0,0,0,0,0,0,0,0,0.0201206290795809,0,0,0.385659116372843,0,0,0,0.00128474075545239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RXK",0,0,0,0,0,0,0,0,0,0.150009884924558,0,0,0,0,0,0,2.74664525214436e-05,0,0.00141778637104074,0.000507655508125326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
